id,created_date,grabbed_date,tweet_age_hours,tweet_id,user_sn,tweet_text,n_retweets.x,n_favorites,created_day,dist_mean,dist_max,n_retweets.y,n_known_retweets,n_domestic,n_same_continent,n_other_continents,max_reach,per_domestic,per_same_continent,per_other_continent,unique_countries,tweeter_city,tweeter_country,tweeter_continent,geo_dist_group,global
1386,2019-08-08T07:46:12Z,2019-08-12T13:14:07Z,101.465277777778,1159370209968439296,nisportslaw,"Great to see this has gained some momentum but it is not just an elite level problem.

We need look no further, than the Irish league (that starts this weekend) &amp; last year’s champions Linfield and their main shirt sponsor Betfair

#DanskeBankPrem #sportslaw #gambling #regulation https://t.co/39q32t0uh0",3,4,2019-08-08,0,0,1,1,1,0,0,1,1,0,0,1,Dublin,IRL,Europe,Short distance,FALSE
1575,2019-08-13T05:05:14Z,2019-08-14T07:17:12Z,26.1994444444444,1161141640204963840,sportslawMELB,#sportslaw Athletic Bilbao striker Inaki Williams has signed a nine-year contract with the Spanish club; contract is one of the longest ever handed to a player but does not surpass the 10-year agreement Real Betis handed Brazilian winger Denilson in 1998 https://t.co/zEu2tqBs6Q,5,1,2019-08-13,17213.16024455352,17213.16024455352,5,5,0,0,5,3,0,0,1,1,Melbourne,AUS,Oceania,Long distance,TRUE
1586,2019-08-12T20:50:15Z,2019-08-14T07:17:12Z,34.4491666666667,1161017072471728130,nisportslaw,"Following on from my gambling thread last week about #derbycounty #Rooney &amp; #32Red everyone should watch this weeks Panorama 

Addicted to Gambling: 

https://t.co/6g8GrSPkm8 via @BBCiPlayer 

This is such a hidden epidemic! 

#regulation #betting #sport #sportslaw #gambling https://t.co/39q32t0uh0",5,3,2019-08-12,0,0,1,1,1,0,0,1,1,0,0,1,Dublin,IRL,Europe,Short distance,FALSE
1589,2019-08-12T18:15:07Z,2019-08-14T07:17:12Z,37.0347222222222,1160978033915977728,ThirtyPP,"Nathan Jones advises Welsh Boxing in respect of domestic rule change, as ban for bearded fighters overturned in Wales - BBC News #sportslaw https://t.co/ndIxnP4r3R",5,5,2019-08-12,162.98168054347738,162.98168054347738,1,1,1,0,0,1,1,0,0,1,Birmingham,GBR,Europe,Short distance,FALSE
1590,2019-08-12T18:14:01Z,2019-08-14T07:17:12Z,37.0530555555556,1160977754474594304,LawInSport,"Whytes Bikes v Rich Energy - lessons from the Haas F1 Team sponsor’s copyright dispute - LawInSport -  By Gavin Stenton and @JayaBajaj2 

https://t.co/o7TVof6yT8

#sportslaw #f1 #trademark",2,0,2019-08-12,9226.299810672155,9226.299810672155,1,1,0,0,1,3,0,0,1,1,London,GBR,Europe,Medium distance,TRUE
1591,2019-08-12T15:56:04Z,2019-08-14T07:17:12Z,39.3522222222222,1160943040434827266,UNHLaw,"Professor @McCannSportsLaw's latest @SInow piece, covering the Brown's legal options against the #nfl over a helmet dispute #sportslaw https://t.co/CUJtagzKQc",6,10,2019-08-12,152.44155266594075,304.8831053318815,8,8,8,0,0,1,1,0,0,1,Boston,USA,North America,Short distance,FALSE
1600,2019-08-12T10:40:53Z,2019-08-14T07:17:12Z,44.6052777777778,1160863722811920390,nickdemarco_,"Many thanks to pioneering Chinese Sports lawyer Guo Cai for hosting my recent visit in China, organising the ‘China Sports law week’ and such thoughtful leaving gifts! #china #sportslaw #sport #drawing https://t.co/HRWBAOBbIQ",1,3,2019-08-12,0,0,2,2,2,0,0,1,1,0,0,1,London,GBR,Europe,Short distance,FALSE
1604,2019-08-12T09:20:58Z,2019-08-14T07:17:12Z,45.9372222222222,1160843609400336384,SHU_SportsLaw,"We are pleased to introduce new clinical elements of arbitration, advice and representation in complex sporting disputes. Join us now. 
LLM International Sports Law in Practice. 
#sportslaw #LLM #practice",1,4,2019-08-12,47.17546778645194,47.17546778645194,1,1,1,0,0,1,1,0,0,1,West Yorkshire,GBR,Europe,Short distance,FALSE
1629,2019-08-13T18:02:00Z,2019-08-15T08:12:00Z,38.1666666666667,1161337121023680512,LawInSport,"FIFA’s clearing house: the future of solidarity mechanism &amp; training compensation - LawInSport - By Toni Roca

https://t.co/BRGRYsdAZx

#sportslaw",5,7,2019-08-13,4792.153407996206,9226.299810672155,2,2,0,1,1,3,0,0.5,0.5,2,London,GBR,Europe,Medium distance,TRUE
1631,2019-08-13T17:49:53Z,2019-08-15T08:12:00Z,38.3686111111111,1161334070082711555,ALTib_Sportslaw,⚽️ No transfer ban for Manchester City after admitting breaching FIFA-rules on the international transfer of minors… https://t.co/jSmWpmmq9p,2,5,2019-08-13,0,0,1,1,1,0,0,1,1,0,0,1,Bruxelles,BEL,Europe,Short distance,FALSE
1635,2019-08-13T16:12:07Z,2019-08-15T08:12:00Z,39.9980555555556,1161309466375139328,nisportslaw,"Man City has just found out they will avoid a transfer ban from #FIFA for breaching rules on the transfer of minors.

FIFA Disciplinary Committee decided to fine City €370,000. #

#football #sportslaw",2,1,2019-08-13,463.20354834882534,463.20354834882534,2,2,0,2,0,2,0,1,0,1,Dublin,IRL,Europe,Short distance,FALSE
1642,2019-08-13T10:14:05Z,2019-08-15T08:12:00Z,45.9652777777778,1161219364647030784,nisportslaw,"Man Utd chiefs add another sponsor to club's portfolio with *official gambling partner* Yabo Sport. 

#gambling #betting #regulation #Marketing #football #sportslaw   https://t.co/WuaVsgdFub",1,0,2019-08-13,0,0,1,1,1,0,0,1,1,0,0,1,Dublin,IRL,Europe,Short distance,FALSE
1643,2019-08-13T10:08:08Z,2019-08-15T08:12:00Z,46.0644444444444,1161217867645411330,penn_sport,Gavin Stenton and @JayaBajaj2 in our Sports group have recently written a new article for @LawInSport regarding the @WhyteBikes and @rich_energy #copyright #infringement saga. #IP #sports #sportslaw #FormulaOne https://t.co/LpNsqVnFtk,1,2,2019-08-13,0,0,1,1,1,0,0,1,1,0,0,1,London,GBR,Europe,Short distance,FALSE
1648,2019-08-15T11:51:00Z,2019-08-16T14:29:27Z,26.6408333333333,1161968529035259910,lesleylimaili,"Offered some legal perspective about contracts in general and its impact on relationships with team owners, sponsors and tournament organisers. 

#EsportsLaw @SportsLawMsia #SportsLaw #esports #RWC #JustRight https://t.co/4fcV1hCMgX",3,3,2019-08-15,0,0,3,3,3,0,0,1,1,0,0,1,Kuala Lumpur,MYS,Asia,Short distance,FALSE
1650,2019-08-15T10:26:22Z,2019-08-16T14:29:27Z,28.0513888888889,1161947229319553024,rugbyandthelaw,"Take an in-depth look at the RFU's decision not to sanction Yorkshire Carnegie, and the regulations governing clubs' financial affairs.

#sportslaw #rugby 
https://t.co/Lv62c9qqlL",1,3,2019-08-15,0,0,1,1,1,0,0,1,1,0,0,1,London,GBR,Europe,Short distance,FALSE
1651,2019-08-15T10:25:42Z,2019-08-16T14:29:27Z,28.0625,1161947061522194433,nisportslaw,"Nigel Adams says Derby giving Wayne #Rooney No 32 shirt is ‘very crafty’ | Derby County | Via The Guardian

They can’t sell shirts with the #gambling company logo on it to kids, but they can sell Rooney 32 shirts to kids...

#sportslaw #regulation  

 https://t.co/7EGmhM5Sil",1,1,2019-08-15,0,0,1,1,1,0,0,1,1,0,0,1,Dublin,IRL,Europe,Short distance,FALSE
1655,2019-08-15T08:03:42Z,2019-08-16T14:29:27Z,30.4291666666667,1161911329160142848,LawyerCas,"Bookmark this page! I am often asked for sports law resources and without a doubt @LawInSport is THE best in the world.

#sportslaw #lawinsport #footballlaw https://t.co/9L9Wz14yY8",2,5,2019-08-15,13548.345748270922,13548.345748270922,1,1,0,0,1,3,0,0,1,1,Riyadh,SAU,Asia,Long distance,TRUE
1664,2019-08-15T06:23:00Z,2019-08-16T14:29:27Z,32.1075,1161885985745121280,LawInSport,"FIFA’s clearing house: the future of solidarity mechanism &amp; training compensation - LawInSport - By Toni Roca

@roca_toni 

https://t.co/BRGRYsdAZx

#sportslaw",2,6,2019-08-15,9226.299810672155,9226.299810672155,1,1,0,0,1,3,0,0,1,1,London,GBR,Europe,Medium distance,TRUE
1670,2019-08-14T18:33:02Z,2019-08-16T14:29:27Z,43.9402777777778,1161707317127200768,LawInSport,"INTERPOL Integrity in Sport Bi-Weekly Bulletin - 30 July 2019 - 12 August 2019 - LawInSport

https://t.co/tLgVSih5HI

#sportslaw https://t.co/qRyo014eEf",3,0,2019-08-14,9226.299810672155,9226.299810672155,1,1,0,0,1,3,0,0,1,1,London,GBR,Europe,Medium distance,TRUE
1672,2019-08-14T16:30:03Z,2019-08-16T14:29:27Z,45.99,1161676365759995911,LawInSport,"U.S. Karate Athlete Joane Orbon Accepts Sanction for Anti-Doping Rule Violation - LawInSport 

https://t.co/wYRhUrNhhc

#sportslaw https://t.co/p5RFt0Bsuh",1,0,2019-08-14,9226.299810672155,9226.299810672155,1,1,0,0,1,3,0,0,1,1,London,GBR,Europe,Medium distance,TRUE
1680,2019-08-14T12:23:04Z,2019-08-16T14:29:27Z,50.1063888888889,1161614210209648640,rugbyandthelaw,"Against the background of the evidence-based concern around #concussion in Rugby, ""comments by the likes of Eddie Jones, Will Greenwood, NZ Herald journalist Gregor Paul and pundit Andy Goode appear rather foolish – and entirely out of place.""

#sportslaw 
https://t.co/Flh77FQpHZ",6,18,2019-08-14,0,0,1,1,1,0,0,1,1,0,0,1,London,GBR,Europe,Short distance,FALSE
